DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
130100573,01/22/2013,01/22/2013,0300,01,Central,0119,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",,53,F,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,951,,,,500    RAMIREZ                      ST,,"(34.0552, -118.2322)"
130100580,01/26/2013,01/26/2013,1530,01,Central,0145,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1000 0334 0432 0340 2004 0319 1402,36,F,W,102,SIDEWALK,207,OTHER KNIFE,AA,Adult Arrest,930,998,,,MAIN,WINSTON,"(34.0476, -118.2477)"
130100583,01/25/2013,01/25/2013,2305,01,Central,0185,210,ROBBERY,1402 0344,57,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,998,,,100 W  OLYMPIC                      BL,,"(34.0405, -118.2567)"
130100595,01/28/2013,01/27/2013,1835,01,Central,0176,210,ROBBERY,1248 0344 0429 0305,56,F,O,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,MAPLE                        AV,OLYMPIC                      BL,"(34.0383, -118.254)"
130100597,01/29/2013,01/28/2013,0845,01,Central,0152,210,ROBBERY,0325 0416,26,M,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,6TH,OLIVE,"(34.0481, -118.2542)"
130100610,01/31/2013,01/31/2013,2150,01,Central,0101,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329 1307 1402,52,M,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,998,,,700    LOOKOUT                      DR,,"(34.0688, -118.2394)"
130100613,02/02/2013,02/02/2013,1545,01,Central,0192,330,BURGLARY FROM VEHICLE,0329 0344 1307 1607 1309,33,F,B,101,STREET,,,IC,Invest Cont,330,,,,1400 S  FLOWER                       ST,,"(34.0388, -118.2676)"
130100622,02/04/2013,02/04/2013,2115,01,Central,0182,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0419 0429 0447 0417 0319 0416,23,M,W,101,STREET,212,BOTTLE,AO,Adult Other,230,,,,1200 S  FLOWER                       ST,,"(34.0415, -118.2654)"
130100623,02/06/2013,02/05/2013,2030,01,Central,0152,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416,21,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,700 W  7TH                          ST,,"(34.048, -118.2577)"
130100632,02/08/2013,02/08/2013,1700,01,Central,0185,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0917 0601 0432 0416 0419,21,F,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,998,,,300 E  12TH                         ST,,"(34.0363, -118.2573)"
130100633,02/09/2013,02/09/2013,0330,01,Central,0145,624,BATTERY - SIMPLE ASSAULT,0416,29,M,W,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,400 S  MAIN                         ST,,"(34.0482, -118.2472)"
130100634,02/09/2013,01/27/2013,1700,01,Central,0147,624,BATTERY - SIMPLE ASSAULT,2004 1601 0416,57,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)"
130100636,02/10/2013,02/10/2013,1430,01,Central,0111,210,ROBBERY,0601 0429 0416 0344 2004 0417 0906 0917 1402,59,M,O,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,998,,,800 N  SPRING                       ST,,"(34.0619, -118.2369)"
130100647,02/14/2013,02/13/2013,1930,01,Central,0185,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1602,29,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,341,,,,900    SANTEE                       ST,,"(34.0401, -118.2533)"
130100648,02/15/2013,02/15/2013,0115,01,Central,0185,210,ROBBERY,0344 0400 0444,29,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,11TH                         ST,HILL                         ST,"(34.0402, -118.2598)"
130100649,02/15/2013,02/14/2013,2320,01,Central,0171,624,BATTERY - SIMPLE ASSAULT,0416,,M,B,716,THEATRE/MOVIE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 W  OLYMPIC                      BL,,"(34.045, -118.264)"
130100651,02/15/2013,02/15/2013,1500,01,Central,0162,440,THEFT PLAIN - PETTY ($950 & UNDER),,28,M,H,504,OTHER RESIDENCE,,,IC,Invest Cont,440,,,,FIGUEROA,7TH                          ST,"(34.0479, -118.2612)"
130100652,02/15/2013,02/14/2013,2100,01,Central,0144,860,BATTERY WITH SEXUAL CONTACT,1415 0500 0522,33,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,998,,,400 S  MAIN                         ST,,"(34.0482, -118.2472)"
130100654,02/17/2013,02/16/2013,1900,01,Central,0111,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,35,F,W,101,STREET,,,IC,Invest Cont,626,,,,ALPINE,SPRING,"(34.0619, -118.2369)"
130100655,02/17/2013,02/16/2013,2140,01,Central,0111,220,ATTEMPTED ROBBERY,0337 1307 1310 0342,45,M,A,101,STREET,511,VERBAL THREAT,IC,Invest Cont,220,,,,700    NEW DEPOT                    ST,,"(34.065, -118.2418)"
130100657,02/17/2013,02/16/2013,1520,01,Central,0192,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0345 0429,18,M,B,511,PROJECT/TENEMENT/PUBLIC HOUSING,207,OTHER KNIFE,AO,Adult Other,230,999,,,1300 S  OLIVE                        ST,,"(34.0381, -118.2629)"
130100658,02/17/2013,02/16/2013,2140,01,Central,0164,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0320,,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,7TH,MAIN,"(34.0433, -118.2504)"
130100659,02/17/2013,02/17/2013,0025,01,Central,0182,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416,46,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,1000 S  HOPE                         ST,,"(34.0437, -118.2617)"
130100660,02/17/2013,02/16/2013,1520,01,Central,0192,624,BATTERY - SIMPLE ASSAULT,0416,48,F,B,511,PROJECT/TENEMENT/PUBLIC HOUSING,207,OTHER KNIFE,IC,Invest Cont,624,999,,,1300 S  OLIVE                        ST,,"(34.0381, -118.2629)"
130100663,02/18/2013,02/18/2013,1700,01,Central,0159,624,BATTERY - SIMPLE ASSAULT,0603 0361 0913 0319 0444 0416,45,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600    MATEO                        ST,,"(34.0381, -118.2327)"
130100665,02/19/2013,02/19/2013,0440,01,Central,0156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,29,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,626,,,,500    WALL                         ST,,"(34.0449, -118.2458)"
130100666,02/19/2013,02/19/2013,1600,01,Central,0192,440,THEFT PLAIN - PETTY ($950 & UNDER),0325 1402 0104,35,M,H,406,OTHER STORE,,,IC,Invest Cont,440,998,,,600 W  PICO                         BL,,"(34.0401, -118.2668)"
130100667,02/19/2013,02/19/2013,1615,01,Central,0146,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1820 0400 0511 1402 0319,51,M,B,102,SIDEWALK,213,CLEAVER,AA,Adult Arrest,230,998,,,200    WINSTON                      ST,,"(34.0467, -118.247)"
130100669,02/19/2013,02/19/2013,2245,01,Central,0152,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",0344 2004,,M,W,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,951,,,,800    WILSHIRE                     BL,,"(34.0494, -118.2581)"
130100682,02/24/2013,02/23/2013,2015,01,Central,0155,946,OTHER MISCELLANEOUS CRIME,0503 1212 0356 0400 2004,12,M,W,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,946,,,,200 E  6TH                          ST,,"(34.0446, -118.249)"
130100683,02/24/2013,02/24/2013,0510,01,Central,0157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218,50,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,6TH,TOWNE,"(34.0408, -118.2428)"
130100687,02/23/2013,02/23/2013,2015,01,Central,0155,946,OTHER MISCELLANEOUS CRIME,1212 0400,12,M,W,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,946,,,,200 E  6TH                          ST,,"(34.0446, -118.249)"
130100688,02/23/2013,02/23/2013,1845,01,Central,0163,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 2004 1212 0319 2002,22,M,H,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,,,,700 S  BROADWAY,,"(34.0452, -118.2534)"
130100689,02/24/2013,02/24/2013,1830,01,Central,0153,624,BATTERY - SIMPLE ASSAULT,0416,46,F,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  BROADWAY,,"(34.0481, -118.2507)"
130100690,03/05/2013,02/24/2013,1830,01,Central,0153,624,BATTERY - SIMPLE ASSAULT,0416,46,F,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  BROADWAY,,"(34.0481, -118.2507)"
130100704,02/27/2013,02/27/2013,1130,01,Central,0166,210,ROBBERY,0334 0355,29,M,H,101,STREET,204,FOLDING KNIFE,AA,Adult Arrest,210,,,,WALL                         ST,7TH                          ST,"(34.0419, -118.2485)"
130100706,03/02/2013,03/02/2013,0050,01,Central,0135,946,OTHER MISCELLANEOUS CRIME,1212 0417,12,M,H,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,946,,,,100 E  4TH                          ST,,"(34.0482, -118.2472)"
130100714,03/03/2013,03/03/2013,1930,01,Central,0171,888,TRESPASSING,,29,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,888,,,,800 W  OLYMPIC                      BL,,"(34.045, -118.264)"
130100717,03/03/2013,03/03/2013,2020,01,Central,0156,624,BATTERY - SIMPLE ASSAULT,0416,,M,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)"
130100718,03/03/2013,03/03/2013,2020,01,Central,0166,624,BATTERY - SIMPLE ASSAULT,0416,,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)"
130100722,03/04/2013,03/04/2013,0430,01,Central,0153,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,34,M,B,101,STREET,,,IC,Invest Cont,745,,,,7TH                          ST,SPRING                       ST,"(34.0449, -118.2528)"
130100724,03/04/2013,03/04/2013,2310,01,Central,0159,624,BATTERY - SIMPLE ASSAULT,0416,32,M,H,207,BAR/COCKTAIL/NIGHTCLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1300    PALMETTO                     ST,,"(34.0402, -118.2329)"
130100728,03/06/2013,03/06/2013,1530,01,Central,0174,624,BATTERY - SIMPLE ASSAULT,0416 1402,21,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,998,,,7TH                          ST,MAIN,"(34.0433, -118.2504)"
130100730,03/07/2013,03/06/2013,1820,01,Central,0176,310,BURGLARY,0324 0344 0329,46,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,200 E  9TH                          ST,,"(34.0407, -118.2541)"
130100731,03/07/2013,03/07/2013,0015,01,Central,0111,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,20,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,626,,,,600 N  FIGUEROA                     ST,,"(34.0627, -118.2463)"
101204986,01/14/2010,01/13/2010,2000,12,77th Street,1266,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,8200 S  BROADWAY,,"(33.9651, -118.2783)"
101107212,02/25/2010,02/24/2010,2200,11,Northeast,1179,510,VEHICLE - STOLEN,,,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 38,,"(34.0896, -118.2105)"
130100732,03/07/2013,03/07/2013,1400,01,Central,0162,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0346 0401 1402 0325,32,F,B,404,DEPARTMENT STORE,,,AA,Adult Arrest,343,998,,,700 W  7TH                          ST,,"(34.048, -118.2577)"
